model,horizon,selection_method,weighting_scheme,rebalance_frequency,turnover_cap,gross_return,net_return,sharpe,max_drawdown,turnover,annualized_volatility,return_per_unit_turnover,mean_IC,quantile_spread
ranker,20,quintile,equal,5,False,-0.005428973221184075,-0.005498936883895134,-0.10302912069373443,-0.16068480670383412,0.0005586592178770949,0.053372646945530455,-9.843097022172289,0.03084095064210951,0.002567897834511522
ranker,20,quintile,equal,10,False,-0.005428973221184075,-0.005498936883895134,-0.10302912069373443,-0.16068480670383412,0.0005586592178770949,0.053372646945530455,-9.843097022172289,0.03084095064210951,0.002567897834511522
tree,20,quintile,equal,1,False,-0.005428973221184075,-0.005498936883895134,-0.10302912069373443,-0.16068480670383412,0.0005586592178770949,0.053372646945530455,-9.843097022172289,0.01021951979489251,-0.0017791915761458802
tree,20,quintile,equal,5,False,-0.005428973221184075,-0.005498936883895134,-0.10302912069373443,-0.16068480670383412,0.0005586592178770949,0.053372646945530455,-9.843097022172289,0.01021951979489251,-0.0017791915761458802
tree,20,quintile,equal,10,False,-0.005428973221184075,-0.005498936883895134,-0.10302912069373443,-0.16068480670383412,0.0005586592178770949,0.053372646945530455,-9.843097022172289,0.01021951979489251,-0.0017791915761458802
ranker,20,decile,signal,1,False,-0.0036135553296224865,-0.008984834889645077,-0.10381994408252294,-0.3003592430409969,0.04290133032415287,0.08654247475324527,-0.2094302163069926,0.03084095064210951,0.002567897834511522
ranker,20,decile,signal,1,True,-0.0036371497726527258,-0.009004905929948404,-0.10405250561328433,-0.30035924304099504,0.04287444575508213,0.0865419422326602,-0.21002967551786964,0.03084095064210951,0.002567897834511522
ranker,20,quintile,equal,1,True,-0.005489248918502887,-0.005559128077600617,-0.10416130719680788,-0.1606848067038329,0.0005586592178770949,0.053370375499386793,-9.950839258905106,0.03084095064210951,0.002567897834511522
tree,20,quintile,equal,1,True,-0.005489248918502887,-0.005559128077600617,-0.10416130719680788,-0.1606848067038329,0.0005586592178770949,0.053370375499386793,-9.950839258905106,0.01021951979489251,-0.0017791915761458802
ranker,10,quintile,equal,10,True,-0.005512935877176495,-0.00558258426615077,-0.10468561552723289,-0.160684806703833,0.0005555555555555556,0.05332713800300976,-10.048651679071385,0.028483120471291725,0.0027379479648458422
ranker,20,quintile,equal,5,True,-0.005580676790012173,-0.005650662628536418,-0.10594212661133591,-0.16068480670383523,0.0005586592178770949,0.05333725883440773,-10.114686105080189,0.03084095064210951,0.002567897834511522
tree,20,quintile,equal,5,True,-0.005580676790012173,-0.005650662628536418,-0.10594212661133591,-0.16068480670383523,0.0005586592178770949,0.05333725883440773,-10.114686105080189,0.01021951979489251,-0.0017791915761458802
ranker,20,quintile,equal,10,True,-0.005754846915333678,-0.005824867350991303,-0.1092233431142497,-0.160684806703833,0.0005586592178770949,0.0533298760586222,-10.426512558274434,0.03084095064210951,0.002567897834511522
tree,20,quintile,equal,10,True,-0.005754846915333678,-0.005824867350991303,-0.1092233431142497,-0.160684806703833,0.0005586592178770949,0.0533298760586222,-10.426512558274434,0.01021951979489251,-0.0017791915761458802
tree,20,quintile,signal,5,False,-0.004660030959156236,-0.009018409013847761,-0.14712507427248966,-0.17892570772650185,0.034830610673396614,0.06129756643075542,-0.25892193215940257,0.01021951979489251,-0.0017791915761458802
tree,20,quintile,signal,5,True,-0.004876713997341686,-0.009218898349250604,-0.1504667799441009,-0.17892570772650107,0.0347079925951421,0.06126866244280277,-0.26561312423873584,0.01021951979489251,-0.0017791915761458802
ranker,10,topk,equal,1,False,-0.008919022259031628,-0.008988363898335683,-0.15056448699987768,-0.16152559843428738,0.0005555555555555556,0.059697768560410834,-16.17905501700423,0.028483120471291725,0.0027379479648458422
ranker,10,topk,equal,5,False,-0.008919022259031628,-0.008988363898335683,-0.15056448699987768,-0.16152559843428738,0.0005555555555555556,0.059697768560410834,-16.17905501700423,0.028483120471291725,0.0027379479648458422
ranker,10,topk,equal,10,False,-0.008919022259031628,-0.008988363898335683,-0.15056448699987768,-0.16152559843428738,0.0005555555555555556,0.059697768560410834,-16.17905501700423,0.028483120471291725,0.0027379479648458422
ranker,10,topk,equal,1,True,-0.0089679581696116,-0.009037205667853487,-0.1513877135331424,-0.1615255984342865,0.0005555555555555556,0.059695766961134704,-16.266970202136278,0.028483120471291725,0.0027379479648458422
ranker,10,topk,equal,5,True,-0.009008633617169082,-0.009077968173068496,-0.15215281358386099,-0.1615255984342876,0.0005555555555555556,0.05966349198048222,-16.34034271152329,0.028483120471291725,0.0027379479648458422
ranker,10,topk,equal,10,True,-0.009202340355081162,-0.009271751969656128,-0.15543041698551427,-0.16152559843428693,0.0005555555555555556,0.05965210767285166,-16.689153545381032,0.028483120471291725,0.0027379479648458422
tree,20,topk,signal,5,False,-0.006042387419151973,-0.010391040653300987,-0.15624404536480543,-0.20858552370292993,0.034799661662249244,0.06650519467183233,-0.2985960252761081,0.01021951979489251,-0.0017791915761458802
ranker,20,topk,equal,1,False,-0.009284064241118717,-0.009353767567171212,-0.156617602534254,-0.16152559843428738,0.0005586592178770949,0.0597236033231031,-16.743243945236472,0.03084095064210951,0.002567897834511522
ranker,20,topk,equal,5,False,-0.009284064241118717,-0.009353767567171212,-0.156617602534254,-0.16152559843428738,0.0005586592178770949,0.0597236033231031,-16.743243945236472,0.03084095064210951,0.002567897834511522
ranker,20,topk,equal,10,False,-0.009284064241118717,-0.009353767567171212,-0.156617602534254,-0.16152559843428738,0.0005586592178770949,0.0597236033231031,-16.743243945236472,0.03084095064210951,0.002567897834511522
